Character,Eidolon,marginal_value
Anaxa,E0-E1,0.2087958676899383
Anaxa,E1-E2,0.3838984965053056
Anaxa,E2-E3,0.13157535046236798
Anaxa,E3-E4,0.35740662413256363
Anaxa,E4-E5,0.11293023613514964
Anaxa,E5-E6,2.5693025485011636
Anaxa,E0-LC,0.8913558974358975
Castorice,E0-E1,0.3736908253037286
Castorice,E1-E2,0.4449308755760375
Castorice,E2-E3,0.11962051389470679
Castorice,E3-E4,0.05083962530626762
Castorice,E4-E5,0.20309613286796965
Castorice,E5-E6,1.0836794751331618
Castorice,E0-LC,1.3790727676484342
RuanMei,E0-E1,0.06154835876198077
RuanMei,E1-E2,0.1923202380586875
RuanMei,E2-E3,0.02484111832835146
RuanMei,E3-E4,0.041489252186578215
RuanMei,E4-E5,0.03922711260249499
RuanMei,E5-E6,0.027402984347168095
RuanMei,E0-LC,0.21947838977409165
